Item,Source,Qty,Price each,Total component price,Link,Current sale price (total)
"2.8"" ILI9341 LCD",Amazon,1,$11.99,$11.99,https://a.co/d/0cWZKgKU,$11.99
ESP32 C3 Super mini,AliExpress,1,$4.06,$4.06,https://www.aliexpress.us/item/3256812255799117.html?spm=a2g0o.productlist.main.2.4ee17da1NTinnS&algo_pvid=bcfcabb0-b94a-4d7a-94af-d05b32923ae9&algo_exp_id=bcfcabb0-b94a-4d7a-94af-d05b32923ae9-1&pdp_ext_f=%7B%22order%22%3A%2265%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.06%212.56%21%21%2127.31%2117.22%21%4021030f8317846633962303000e0ec9%2112000058411516718%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29919%3Bd%3A65aee796%3Bm03_new_user%3A-29895%3BpisId%3A5000000211656987&curPageLogUid=N7XyvsNFzGEr&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012442113869%7C_p_origin_prod%3A,$2.56
Passive Piezo Buzzer,AliExpress,1,$1.18,$1.18,https://www.aliexpress.us/item/3256806074013807.html?spm=a2g0o.productlist.main.4.477f3b6aAUWYmc&aem_p4p_detail=202607211251018551204856888060000956048&algo_pvid=c59af477-cda3-483f-91b7-a3d6fcc2fefc&algo_exp_id=c59af477-cda3-483f-91b7-a3d6fcc2fefc-3&pdp_ext_f=%7B%22order%22%3A%221059%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.18%211.16%21%21%211.18%211.16%21%402101e81117846634615814327e0ef3%2112000036509108003%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29919%3Bd%3A65aee796%3Bm03_new_user%3A-29895&curPageLogUid=2QIpXXeL6XJw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006260328559%7C_p_origin_prod%3A&search_p4p_id=202607211251018551204856888060000956048_1,$1.16
Wire (different colors),AliExpress,3,$1.99,$5.97,https://www.aliexpress.us/item/3256805135541457.html?spm=a2g0o.productlist.main.4.78717a708dEz5Q&aem_p4p_detail=202607211253102472886287747480000966032&algo_pvid=b7d7b2c8-8636-4143-ac39-379bf5811ffd&algo_exp_id=b7d7b2c8-8636-4143-ac39-379bf5811ffd-3&pdp_ext_f=%7B%22order%22%3A%2210731%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.20%211.99%21%21%213.20%211.99%21%402101d3fe17846635905511691e10db%2112000041482104474%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29919%3Bd%3A65aee796%3Bm03_new_user%3A-29895%3BpisId%3A5000000211656987&curPageLogUid=YwMVvGEUE9ad&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005321856209%7C_p_origin_prod%3A&search_p4p_id=202607211253102472886287747480000966032_1,$5.97
Perfboard,AliExpress,1,$3.70,$3.70,https://www.aliexpress.us/item/3256805949797804.html?spm=a2g0o.productlist.main.2.7c3eMqRVMqRVIL&algo_pvid=4bc2bf72-bcaa-4b44-95ea-846b031dc6ff&algo_exp_id=4bc2bf72-bcaa-4b44-95ea-846b031dc6ff-1&pdp_ext_f=%7B%22order%22%3A%222695%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.64%211.99%21%21%2117.75%2113.38%21%402101c4ea17846637960194628e12a4%2112000056459214872%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29919%3Bd%3A65aee796%3Bm03_new_user%3A-29895%3BpisId%3A5000000211656987&curPageLogUid=wLBeh7xtf5a6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006136112556%7C_p_origin_prod%3A,$2.20
Key switches,AliExpress,1,$6.26,$6.26,https://www.aliexpress.us/item/3256812117552846.html?spm=a2g0o.productlist.main.6.76066a47SNYAwD&algo_pvid=258ba212-7b5a-4879-a960-5283e1457d37&algo_exp_id=258ba212-7b5a-4879-a960-5283e1457d37-5&pdp_ext_f=%7B%22order%22%3A%2254%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.26%214.76%21%21%216.26%214.76%21%402101ea8f17846639110357431e0d58%2112000058039390136%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29919%3Bd%3A65aee796%3Bm03_new_user%3A-29895%3BpisId%3A5000000211656987&curPageLogUid=pIkArG3cBoKZ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012303867598%7C_p_origin_prod%3A,$4.76
Keycaps,AliExpress,1,$3.89,$3.89,https://www.aliexpress.us/item/3256810359094598.html?spm=a2g0o.productlist.main.1.266frrq6rrq6Mq&algo_pvid=fe73a7c3-d0a6-4121-bfb8-97f0902d180b&algo_exp_id=fe73a7c3-d0a6-4121-bfb8-97f0902d180b-0&pdp_ext_f=%7B%22order%22%3A%22254%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.89%212.39%21%21%213.89%212.39%21%402101dedf17846716393282715e0ed0%2112000052767672801%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29919%3Bd%3A65aee796%3Bm03_new_user%3A-29895%3BpisId%3A5000000211656987&curPageLogUid=m39cQvKpkHrn&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010545409350%7C_p_origin_prod%3A,$2.39
Heat shrink,AliExpress,1,$7.09,$7.09,https://www.aliexpress.us/item/3256811806875013.html?spm=a2g0o.productlist.main.11.3b145ed5J9N4YR&algo_pvid=0e503114-0f69-4a51-9a72-38d3601c7bfb&algo_exp_id=0e503114-0f69-4a51-9a72-38d3601c7bfb-10&pdp_ext_f=%7B%22order%22%3A%2242%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.09%211.99%21%21%2147.69%2113.40%21%402101d33417846639322707848e0fa0%2112000057222447506%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29919%3Bd%3A65aee796%3Bm03_new_user%3A-29895%3BpisId%3A5000000211656987&curPageLogUid=icbivwKsduoh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011993189765%7C_p_origin_prod%3A,$1.99
100 ohm resistor (100R),AliExpress,1,$0.92,$0.92,https://www.aliexpress.us/item/3256802303553096.html?spm=a2g0o.productlist.main.4.2a1960ffBGhBad&aem_p4p_detail=20260721150931302361700034790002600012&algo_pvid=a5114778-a0ff-445b-8b1b-3f9c06f82125&algo_exp_id=a5114778-a0ff-445b-8b1b-3f9c06f82125-3&pdp_ext_f=%7B%22order%22%3A%224863%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.92%210.90%21%21%210.92%210.90%21%402103094f17846717709707365e0f49%2112000020846080146%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29919%3Bd%3A65aee796%3Bm03_new_user%3A-29895&curPageLogUid=TO37sp2RzT7c&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002489867848%7C_p_origin_prod%3A&search_p4p_id=20260721150931302361700034790002600012_1,$0.90
USB-C to USB-A cable,Amazon,1,$5.99,$5.99,https://a.co/d/08SZNABU,$5.99
